Cycle index,SOH
1,0.9918
2,0.99442
3,0.99555
4,0.99632
5,0.99679
6,0.99724
7,0.99753
8,0.9977
9,0.99773
10,0.99781
11,0.99804
12,0.998
13,0.99471
14,0.99553
15,0.99642
16,0.99674
17,0.99705
18,0.99742
19,0.99757
20,0.99536
21,0.99777
22,0.99661
23,0.99781
24,0.99784
25,0.99797
26,0.99793
27,0.99798
28,0.99815
29,0.99806
30,0.9981
31,0.99786
32,0.99797
33,0.99795
34,0.99798
35,0.99783
36,0.99785
37,0.99786
38,0.99783
39,0.99781
40,0.99769
41,0.9977
42,0.99775
43,0.99771
44,0.99774
45,0.99779
46,0.99783
47,0.99781
48,0.99778
49,0.99772
50,0.99773
51,0.99775
52,0.99779
53,0.9977
54,0.99772
55,0.9976
56,0.9976
57,0.99746
58,0.99751
59,0.99748
60,0.99742
61,0.99738
62,0.9974
63,0.99736
64,0.99738
65,0.99735
66,0.9973
67,0.99705
68,0.99723
69,0.99755
70,0.99773
71,0.9977
72,0.99751
73,0.99717
74,0.99708
75,0.99703
76,0.99696
77,0.99693
78,0.99691
79,0.99702
80,0.99689
81,0.99684
82,0.99682
83,0.99678
84,0.99673
85,0.9967
86,0.99664
87,0.99662
88,0.99659
89,0.99663
90,0.99641
91,0.99646
92,0.99643
93,0.9965
94,0.9965
95,0.99626
96,0.9963
97,0.99622
98,0.99627
99,0.99625
100,0.99615
